,FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD,Element Type,Datetime,Seconds Since Start,d 15N/14N_corr,d 15N/14N_se,d 13C/12C_corr,d 13C/12C_se
112,22732_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,13:49:50,13,Reference,ACETANILIDE,STANDARD,0.00081,0.0,3.0,N2,159.3,10.32,5346.0,3924.0,137.283,1.007,-0.935,,,,,,,138.29,,,,,,Nitrogen,2024-11-21 13:49:50,9288.0,-1.3350678079175968,0.22052368315559462,,
132,22735_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:17:37,16,Start Reference Regression,ACETANILIDE,STANDARD,0.00061,0.0,3.0,N2,158.6,10.32,3420.0,2511.0,88.12,0.646,-0.975,,,,,,,88.766,,,,,,Nitrogen,2024-11-21 14:17:37,10955.0,-1.3602920098030609,0.21609608254936202,,
140,22736_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:26:53,17,Add Reference Regression,ACETANILIDE,STANDARD,0.00094,0.0,3.0,N2,158.4,10.32,5759.0,4228.0,145.465,1.067,-0.975,,,,,,,146.532,,,,,,Nitrogen,2024-11-21 14:26:53,11511.0,-1.355363789196173,0.21463670389191064,,
141,22736_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:26:53,17,Add Reference Regression,ACETANILIDE,STANDARD,0.00094,89.0,4.0,CO2,273.0,71.06,,,,,,7837.0,9109.0,11251.0,213.733,2.472,0.921,217.126,-29.146,,,,,Carbon,2024-11-21 14:26:53,11511.0,,,-29.25127912052049,0.08426149506371923
148,22737_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:36:08,18,Add Reference Regression,ACETANILIDE,STANDARD,0.00085,0.0,3.0,N2,158.4,10.32,5280.0,3876.0,133.878,0.982,-0.944,,,,,,,134.86,,,,,,Nitrogen,2024-11-21 14:36:08,12066.0,-1.3194444322954126,0.21318891459565553,,
149,22737_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:36:08,18,Add Reference Regression,ACETANILIDE,STANDARD,0.00085,89.0,4.0,CO2,273.6,71.06,,,,,,7228.0,8396.0,10375.0,196.217,2.27,0.845,199.332,-29.18,,,,,Carbon,2024-11-21 14:36:08,12066.0,,,-29.283676253518767,0.08363641933214964
156,22738_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:45:24,19,Add Reference Regression,ACETANILIDE,STANDARD,0.00071,0.0,3.0,N2,158.6,10.32,4663.0,3423.0,118.728,0.871,-0.957,,,,,,,119.598,,,,,,Nitrogen,2024-11-21 14:45:24,12622.0,-1.327516211688525,0.21174768183597592,,
157,22738_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:45:24,19,Add Reference Regression,ACETANILIDE,STANDARD,0.00071,89.0,4.0,CO2,274.8,71.06,,,,,,6426.0,7459.0,9226.0,173.594,2.008,0.748,176.35,-29.257,,,,,Carbon,2024-11-21 14:45:24,12622.0,,,-29.359070498468395,0.08301522198077269
164,22739_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,14:54:40,20,Sample,SORGHUM,STANDARD,0.00166,0.0,3.0,N2,159.5,1.846181,1628.0,1199.0,41.867,0.308,1.743,,,,,,,42.175,,,,,,Nitrogen,2024-11-21 14:54:40,13178.0,1.377412008918363,0.21031581096639226,,
165,22739_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,14:54:40,20,Sample,SORGHUM,STANDARD,0.00166,89.0,4.0,CO2,272.1,30.8771889,,,,,,8870.0,10443.0,12730.0,245.955,2.881,1.059,249.895,-14.709,,,,,Carbon,2024-11-21 14:54:40,13178.0,,,-14.80946474341802,0.08239914699864052
