,FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD,Element Type,Datetime,Seconds Since Start,d 15N/14N_corr,d 15N/14N_se,d 13C/12C_corr,d 13C/12C_se,d15N(AIR) value,VPDB_d15N/14N,VPDB_d15N/14N_diff,VPDB_d15N/14N_se,d13C(VPDB) value,VPDB_d13C/12C,VPDB_d13C/12C_diff,VPDB_d13C/12C_se,sum_squared_error
112,22732_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,13:49:50,13,Reference,ACETANILIDE,STANDARD,0.00081,0.0,3.0,N2,159.3,10.32,5346.0,3924.0,137.283,1.007,-0.935,,,,,,,138.29,,,,,,Nitrogen,2024-11-21 13:49:50,9288.0,-1.3350678079175968,0.2205236831555947,,,-1.282,-0.8647870377392989,-2.646987037739299,0.2788339790964742,,,,,0.35549835826805465
132,22735_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:17:37,16,Start Reference Regression,ACETANILIDE,STANDARD,0.00061,0.0,3.0,N2,158.6,10.32,3420.0,2511.0,88.12,0.646,-0.975,,,,,,,88.766,,,,,,Nitrogen,2024-11-21 14:17:37,10955.0,-1.3602920098030609,0.2160960825493621,,,-1.282,-0.8887309007181666,-2.670930900718167,0.28034281004007233,,,,,0.3539627212494909
141,22736_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:26:53,17,Add Reference Regression,ACETANILIDE,STANDARD,0.00094,89.0,4.0,CO2,273.0,71.06,,,,,,7837.0,9109.0,11251.0,213.733,2.472,0.921,217.126,-29.146,,,,,Carbon,2024-11-21 14:26:53,11511.0,,,-29.251279120520493,0.08426149506371904,,,,,-28.842,-28.736813379474917,-6.59391337947492,0.03240991482420723,0.09027957758699093
140,22736_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:26:53,17,Add Reference Regression,ACETANILIDE,STANDARD,0.00094,0.0,3.0,N2,158.4,10.32,5759.0,4228.0,145.465,1.067,-0.975,,,,,,,146.532,,,,,,Nitrogen,2024-11-21 14:26:53,11511.0,-1.3553637891961734,0.21463670389191072,,,-1.282,-0.8840528284653059,-2.666252828465306,0.28004748898990933,,,,,0.35283921373217175
148,22737_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:36:08,18,Add Reference Regression,ACETANILIDE,STANDARD,0.00085,0.0,3.0,N2,158.4,10.32,5280.0,3876.0,133.878,0.982,-0.944,,,,,,,134.86,,,,,,Nitrogen,2024-11-21 14:36:08,12066.0,-1.3194444322954129,0.2131889145956556,,,-1.282,-0.8499566789091738,-2.632156678909174,0.2779028508873623,,,,,0.35025634589225824
149,22737_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:36:08,18,Add Reference Regression,ACETANILIDE,STANDARD,0.00085,89.0,4.0,CO2,273.6,71.06,,,,,,7228.0,8396.0,10375.0,196.217,2.27,0.845,199.332,-29.18,,,,,Carbon,2024-11-21 14:36:08,12066.0,,,-29.28367625351877,0.08363641933214945,,,,,-28.842,-28.769688307896025,-6.626788307896028,0.03248680849609781,0.08972426296696605
157,22738_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:45:24,19,Add Reference Regression,ACETANILIDE,STANDARD,0.00071,89.0,4.0,CO2,274.8,71.06,,,,,,6426.0,7459.0,9226.0,173.594,2.008,0.748,176.35,-29.257,,,,,Carbon,2024-11-21 14:45:24,12622.0,,,-29.359070498468398,0.08301522198077249,,,,,-28.842,-28.84619447300065,-6.703294473000653,0.03266637325292184,0.08921109248303229
156,22738_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:45:24,19,Add Reference Regression,ACETANILIDE,STANDARD,0.00071,0.0,3.0,N2,158.6,10.32,4663.0,3423.0,118.728,0.871,-0.957,,,,,,,119.598,,,,,,Nitrogen,2024-11-21 14:45:24,12622.0,-1.327516211688525,0.21174768183597598,,,-1.282,-0.8576187480863041,-2.6398187480863045,0.2783835878441723,,,,,0.3497634954421397
165,22739_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,14:54:40,20,Sample,SORGHUM,STANDARD,0.00166,89.0,4.0,CO2,272.1,30.8771889,,,,,,8870.0,10443.0,12730.0,245.955,2.881,1.059,249.895,-14.709,,,,,Carbon,2024-11-21 14:54:40,13178.0,,,-14.809464743418024,0.08239914699864032,,,,,-13.78,-14.082010007107153,8.060889992892845,0.03229724818412845,0.08850272123709374
164,22739_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,14:54:40,20,Sample,SORGHUM,STANDARD,0.00166,0.0,3.0,N2,159.5,1.846181,1628.0,1199.0,41.867,0.308,1.743,,,,,,,42.175,,,,,,Nitrogen,2024-11-21 14:54:40,13178.0,1.3774120089183628,0.21031581096639232,,,1.58,1.7100117750108956,-0.0721882249891046,0.18883515312463417,,,,,0.28265076578359966
173,22740_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:03:56,21,Sample,SORGHUM,SAMPLE,0.00169,89.0,4.0,CO2,271.1,30.8929679,,,,,,8953.0,10541.0,12847.0,246.508,2.887,1.061,250.456,-14.365,,,,,Carbon,2024-11-21 15:03:56,13734.0,,,-14.463858988367651,0.08178831013942611,,,,,-13.78,-13.731307231654496,8.411592768345502,0.033123183764314765,0.08824099375090648
172,22740_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:03:56,21,Sample,SORGHUM,SAMPLE,0.00169,0.0,3.0,N2,158.6,1.8357521,1664.0,1225.0,42.41,0.312,1.102,,,,,,,42.722,,,,,,Nitrogen,2024-11-21 15:03:56,13734.0,0.7413402295252505,0.20889349450162017,,,1.58,1.1062259506003413,-0.6759740493996589,0.19203697453552385,,,,,0.28375110860374775
181,22741_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:13:11,22,Sample,SORGHUM,SAMPLE,0.00187,89.0,4.0,CO2,271.5,33.9919363,,,,,,9100.0,10707.0,13059.0,252.731,2.959,1.088,256.777,-14.448,,,,,Carbon,2024-11-21 15:13:11,14289.0,,,-14.54525612136593,0.08118391375514374,,,,,-13.78,-13.813904815864936,8.328995184135062,0.03292706055254252,0.08760718674420163
180,22741_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:13:11,22,Sample,SORGHUM,SAMPLE,0.00187,0.0,3.0,N2,159.5,1.6820939,1676.0,1235.0,43.03,0.317,1.248,,,,,,,43.347,,,,,,Nitrogen,2024-11-21 15:13:11,14289.0,0.8922595864260108,0.20748346064613463,,,1.58,1.2494848897294726,-0.5327151102705276,0.19002445623546446,,,,,0.2813515246258318
189,22742_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,15:22:27,23,Sample,WHEAT FLOUR,SAMPLE,0.0019,89.0,4.0,CO2,271.3,31.048594,,,,,,9072.0,10542.0,13020.0,250.334,2.893,1.078,254.305,-27.346,,,,,Carbon,2024-11-21 15:22:27,14845.0,,,-27.441650366315557,0.08058390039707627,,,,,-26.871,-26.900496080458574,-4.757596080458576,0.028408118404419747,0.08544463818453117
188,22742_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,15:22:27,23,Sample,WHEAT FLOUR,SAMPLE,0.0019,0.0,3.0,N2,159.0,2.0034996,2067.0,1527.0,52.671,0.389,4.765,,,,,,,53.06,,,,,,Nitrogen,2024-11-21 15:22:27,14845.0,4.414187807032898,0.20608082840569175,,,4.631,4.592645839619199,2.8104458396191987,0.32076364159352794,,,,,0.3812592577298516
